TimeStep,SimulationTime,TotalElapsedTime,ForceCalcTime,PositionUpdateTime,VelocityUpdateTime,ForceCalcPercentage,PositionUpdatePercentage,VelocityUpdatePercentage,NumberOfBodies
10,0.100000,0.035077,0.035047,0.000004,0.000024,99.915037,0.011555,0.067970,1000
20,0.200000,0.026426,0.026403,0.000003,0.000019,99.913387,0.011729,0.071275,1000
30,0.300000,0.026501,0.026480,0.000002,0.000018,99.921730,0.007197,0.067475,1000
40,0.400000,0.026722,0.026700,0.000003,0.000018,99.917916,0.011599,0.066916,1000
50,0.500000,0.026484,0.026462,0.000003,0.000018,99.917178,0.011703,0.067518,1000
60,0.600000,0.026524,0.026501,0.000002,0.000018,99.912809,0.008090,0.067416,1000
70,0.700000,0.026912,0.026890,0.000003,0.000018,99.918495,0.011517,0.066444,1000
80,0.800000,0.026567,0.026545,0.000003,0.000017,99.916540,0.011667,0.063717,1000
90,0.900000,0.026529,0.026506,0.000003,0.000019,99.913723,0.011683,0.070998,1000
100,1.000000,0.026541,0.026519,0.000003,0.000018,99.917356,0.011678,0.067373,1000
110,1.100000,0.026583,0.026561,0.000002,0.000017,99.917487,0.008072,0.063679,1000
120,1.200000,0.026365,0.026343,0.000003,0.000018,99.916804,0.011756,0.067823,1000
130,1.300000,0.026322,0.026299,0.000003,0.000017,99.912140,0.011775,0.064310,1000
140,1.400000,0.026360,0.026338,0.000003,0.000018,99.915884,0.011758,0.068740,1000
150,1.500000,0.026277,0.026256,0.000003,0.000017,99.920155,0.011795,0.064421,1000
160,1.600000,0.026397,0.026374,0.000003,0.000018,99.913292,0.010838,0.068643,1000
170,1.700000,0.026277,0.026255,0.000003,0.000018,99.915619,0.011795,0.068957,1000
180,1.800000,0.026316,0.026294,0.000003,0.000017,99.916649,0.010872,0.065231,1000
190,1.900000,0.026370,0.026348,0.000003,0.000018,99.915916,0.011754,0.067809,1000
200,2.000000,0.026317,0.026296,0.000002,0.000018,99.919371,0.007248,0.068852,1000
210,2.100000,0.026340,0.026318,0.000003,0.000018,99.916726,0.010862,0.068792,1000
220,2.200000,0.026277,0.026255,0.000003,0.000018,99.916526,0.010888,0.068957,1000
230,2.300000,0.026377,0.026354,0.000003,0.000017,99.913227,0.010847,0.065080,1000
240,2.400000,0.026352,0.026329,0.000003,0.000018,99.913144,0.010857,0.068761,1000
250,2.500000,0.026278,0.026256,0.000003,0.000018,99.916529,0.011795,0.068047,1000
260,2.600000,0.026537,0.026514,0.000003,0.000018,99.912852,0.010781,0.068281,1000
270,2.700000,0.026473,0.026452,0.000002,0.000018,99.919846,0.008105,0.067546,1000
280,2.800000,0.026315,0.026294,0.000002,0.000018,99.920270,0.007248,0.068857,1000
290,2.900000,0.026321,0.026300,0.000002,0.000018,99.920288,0.008152,0.067936,1000
300,3.000000,0.026358,0.026336,0.000003,0.000018,99.916782,0.011759,0.067841,1000
310,3.100000,0.026315,0.026294,0.000002,0.000018,99.920270,0.007248,0.068857,1000
320,3.200000,0.026321,0.026299,0.000003,0.000018,99.915760,0.010870,0.068841,1000
330,3.300000,0.026299,0.026277,0.000003,0.000017,99.915689,0.011785,0.064366,1000
340,3.400000,0.026343,0.026321,0.000003,0.000018,99.916735,0.011766,0.067879,1000
350,3.500000,0.026313,0.026291,0.000003,0.000018,99.916639,0.011779,0.067957,1000
360,3.600000,0.026438,0.026416,0.000003,0.000018,99.916132,0.011723,0.068537,1000
370,3.700000,0.026305,0.026283,0.000003,0.000018,99.916615,0.010876,0.068884,1000
380,3.800000,0.026471,0.026448,0.000003,0.000018,99.913535,0.011709,0.067551,1000
390,3.900000,0.026397,0.026374,0.000003,0.000017,99.912389,0.011742,0.064127,1000
400,4.000000,0.026313,0.026288,0.000003,0.000021,99.904861,0.011779,0.079735,1000
410,4.100000,0.026409,0.026386,0.000003,0.000018,99.913332,0.010834,0.068612,1000
420,4.200000,0.026795,0.026774,0.000003,0.000017,99.922588,0.010677,0.063175,1000
430,4.300000,0.026636,0.026614,0.000003,0.000018,99.917651,0.010741,0.068027,1000
440,4.400000,0.026455,0.026433,0.000003,0.000017,99.917087,0.010815,0.064888,1000
450,4.500000,0.026439,0.026417,0.000003,0.000018,99.917037,0.010821,0.068535,1000
460,4.600000,0.026460,0.026438,0.000003,0.000018,99.916203,0.011714,0.068480,1000
470,4.700000,0.026397,0.026376,0.000002,0.000017,99.920518,0.007226,0.065031,1000
480,4.800000,0.026524,0.026501,0.000003,0.000018,99.913708,0.010787,0.068315,1000
490,4.900000,0.026452,0.026430,0.000003,0.000018,99.917078,0.010816,0.068501,1000
500,5.000000,0.026480,0.026458,0.000003,0.000018,99.917166,0.010804,0.068428,1000
510,5.100000,0.027051,0.027029,0.000003,0.000018,99.918914,0.011458,0.066103,1000
520,5.200000,0.026398,0.026377,0.000002,0.000017,99.920521,0.007225,0.064125,1000
530,5.300000,0.026597,0.026575,0.000002,0.000018,99.916634,0.007171,0.067231,1000
540,5.400000,0.026318,0.026296,0.000002,0.000017,99.916656,0.007247,0.065226,1000
550,5.500000,0.026273,0.026252,0.000003,0.000017,99.919236,0.011797,0.064430,1000
560,5.600000,0.026327,0.026305,0.000003,0.000018,99.915779,0.011773,0.068826,1000
570,5.700000,0.026338,0.026314,0.000003,0.000019,99.909477,0.010863,0.072419,1000
580,5.800000,0.026272,0.026250,0.000002,0.000018,99.916510,0.008167,0.068062,1000
590,5.900000,0.026315,0.026293,0.000003,0.000018,99.914835,0.011778,0.068857,1000
600,6.000000,0.026429,0.026407,0.000003,0.000018,99.917006,0.010825,0.068561,1000
610,6.100000,0.026471,0.026449,0.000003,0.000018,99.917138,0.010808,0.068451,1000
620,6.200000,0.026277,0.026252,0.000002,0.000021,99.905637,0.007259,0.079845,1000
630,6.300000,0.026425,0.026403,0.000003,0.000018,99.916993,0.011729,0.067669,1000
640,6.400000,0.026316,0.026294,0.000003,0.000018,99.916649,0.010872,0.068855,1000
650,6.500000,0.026302,0.026280,0.000003,0.000017,99.915699,0.010878,0.065265,1000
660,6.600000,0.026278,0.026256,0.000003,0.000017,99.916529,0.010888,0.065325,1000
670,6.700000,0.026277,0.026255,0.000003,0.000018,99.916525,0.011795,0.068050,1000
680,6.800000,0.026278,0.026256,0.000002,0.000018,99.916529,0.007258,0.068954,1000
690,6.900000,0.026358,0.026336,0.000003,0.000018,99.916782,0.011759,0.067841,1000
700,7.000000,0.026428,0.026406,0.000003,0.000018,99.917003,0.011728,0.067661,1000
710,7.100000,0.026322,0.026300,0.000003,0.000018,99.916668,0.011775,0.067934,1000
720,7.200000,0.026276,0.026254,0.000003,0.000018,99.916522,0.011796,0.068053,1000
730,7.300000,0.026385,0.026363,0.000003,0.000018,99.916868,0.010843,0.068674,1000
740,7.400000,0.026279,0.026257,0.000003,0.000018,99.916532,0.010887,0.068952,1000
750,7.500000,0.026316,0.026295,0.000002,0.000018,99.920273,0.007248,0.068855,1000
760,7.600000,0.026463,0.026441,0.000003,0.000017,99.917113,0.010811,0.064868,1000
770,7.700000,0.026396,0.026374,0.000003,0.000017,99.916902,0.010839,0.065033,1000
780,7.800000,0.026364,0.026342,0.000003,0.000018,99.916802,0.010852,0.068729,1000
790,7.900000,0.026362,0.026340,0.000003,0.000018,99.916795,0.011757,0.067830,1000
800,8.000000,0.026705,0.026683,0.000003,0.000017,99.917863,0.011606,0.063388,1000
810,8.100000,0.026326,0.026303,0.000003,0.000019,99.911248,0.011773,0.072451,1000
820,8.200000,0.026282,0.026259,0.000003,0.000018,99.912006,0.010886,0.068944,1000
830,8.300000,0.026380,0.026358,0.000003,0.000018,99.916852,0.010845,0.068688,1000
840,8.400000,0.026305,0.026283,0.000002,0.000017,99.916615,0.007251,0.064352,1000
850,8.500000,0.026525,0.026504,0.000002,0.000018,99.920902,0.007191,0.068312,1000
860,8.600000,0.026399,0.026377,0.000003,0.000018,99.916009,0.010838,0.068638,1000
870,8.700000,0.026490,0.026467,0.000003,0.000019,99.913597,0.011700,0.071103,1000
880,8.800000,0.026582,0.026559,0.000003,0.000018,99.913896,0.010763,0.068166,1000
890,8.900000,0.026503,0.026459,0.000003,0.000040,99.834474,0.011695,0.150233,1000
900,9.000000,0.026459,0.026436,0.000003,0.000017,99.913496,0.011714,0.063977,1000
910,9.100000,0.026569,0.026547,0.000003,0.000017,99.917444,0.010768,0.063712,1000
920,9.200000,0.026584,0.026562,0.000003,0.000018,99.917490,0.010762,0.068161,1000
930,9.300000,0.026586,0.026564,0.000002,0.000018,99.917495,0.007174,0.067259,1000
940,9.400000,0.026669,0.026647,0.000003,0.000017,99.917753,0.010728,0.063473,1000
950,9.500000,0.026590,0.026568,0.000002,0.000018,99.917508,0.008070,0.067249,1000
960,9.600000,0.026519,0.026498,0.000002,0.000018,99.920884,0.007192,0.068328,1000
970,9.700000,0.026615,0.026593,0.000003,0.000017,99.916691,0.010750,0.064498,1000
980,9.800000,0.026344,0.026323,0.000002,0.000018,99.920358,0.008145,0.067876,1000
990,9.900000,0.026404,0.026382,0.000003,0.000017,99.916927,0.011739,0.064111,1000
1000,10.000000,0.026274,0.026252,0.000003,0.000018,99.915610,0.010889,0.068964,1000
1010,10.100000,0.026380,0.026358,0.000003,0.000018,99.916852,0.011749,0.067784,1000
1020,10.200000,0.026274,0.026253,0.000002,0.000018,99.920146,0.007259,0.068965,1000
1030,10.300000,0.026316,0.026294,0.000003,0.000017,99.915744,0.011778,0.064324,1000
1040,10.400000,0.026399,0.026377,0.000003,0.000017,99.916009,0.010838,0.065025,1000
1050,10.500000,0.026314,0.026292,0.000003,0.000018,99.916643,0.010873,0.068860,1000
1060,10.600000,0.026645,0.026623,0.000003,0.000018,99.917679,0.011632,0.067110,1000
1070,10.700000,0.026479,0.026457,0.000003,0.000018,99.916262,0.011705,0.067530,1000
1080,10.800000,0.026282,0.026260,0.000003,0.000017,99.916541,0.011793,0.064408,1000
1090,10.900000,0.026316,0.026295,0.000002,0.000018,99.920273,0.008154,0.067949,1000
1100,11.000000,0.026358,0.026337,0.000002,0.000018,99.920400,0.008141,0.067841,1000
1110,11.100000,0.026312,0.026290,0.000003,0.000017,99.915731,0.010873,0.065240,1000
1120,11.200000,0.026351,0.026329,0.000003,0.000018,99.916760,0.011762,0.067859,1000
1130,11.300000,0.026345,0.026323,0.000003,0.000017,99.916741,0.010860,0.064254,1000
1140,11.400000,0.026557,0.026535,0.000003,0.000017,99.917406,0.011671,0.063741,1000
1150,11.500000,0.026290,0.026268,0.000003,0.000017,99.916567,0.011789,0.064389,1000
1160,11.600000,0.026295,0.026272,0.000003,0.000018,99.912956,0.010881,0.068910,1000
1170,11.700000,0.026443,0.026421,0.000003,0.000017,99.917050,0.011721,0.064016,1000
1180,11.800000,0.026277,0.026255,0.000003,0.000017,99.915619,0.011795,0.064420,1000
1190,11.900000,0.026278,0.026256,0.000003,0.000017,99.917436,0.010888,0.064418,1000
1200,12.000000,0.026316,0.026294,0.000002,0.000018,99.916649,0.008154,0.067949,1000
1210,12.100000,0.026278,0.026256,0.000003,0.000017,99.916529,0.010888,0.065325,1000
1220,12.200000,0.026276,0.026255,0.000002,0.000018,99.921059,0.007259,0.068053,1000
1230,12.300000,0.026345,0.026323,0.000003,0.000018,99.916741,0.011765,0.067874,1000
1240,12.400000,0.026401,0.026379,0.000003,0.000018,99.916918,0.010837,0.068633,1000
1250,12.500000,0.026394,0.026372,0.000002,0.000018,99.916896,0.008130,0.067748,1000
1260,12.600000,0.026275,0.026253,0.000003,0.000018,99.915613,0.010889,0.068962,1000
1270,12.700000,0.026322,0.026300,0.000003,0.000017,99.916668,0.011775,0.064310,1000
1280,12.800000,0.026320,0.026298,0.000003,0.000018,99.916662,0.011776,0.067938,1000
1290,12.900000,0.026406,0.026384,0.000002,0.000018,99.916934,0.007223,0.068620,1000
1300,13.000000,0.026461,0.026439,0.000003,0.000017,99.916206,0.010812,0.064873,1000
1310,13.100000,0.026511,0.026488,0.000003,0.000018,99.913665,0.010792,0.068348,1000
1320,13.200000,0.026434,0.026413,0.000002,0.000018,99.921531,0.007216,0.067646,1000
1330,13.300000,0.026468,0.026446,0.000003,0.000017,99.916228,0.011710,0.063955,1000
1340,13.400000,0.026477,0.026456,0.000002,0.000018,99.919858,0.007204,0.068436,1000
1350,13.500000,0.026546,0.026525,0.000002,0.000018,99.920964,0.007185,0.068258,1000
1360,13.600000,0.026399,0.026376,0.000003,0.000018,99.913299,0.011741,0.067735,1000
1370,13.700000,0.026547,0.026525,0.000003,0.000018,99.915579,0.011675,0.068255,1000
1380,13.800000,0.026417,0.026396,0.000002,0.000017,99.919676,0.008123,0.064079,1000
1390,13.900000,0.026496,0.026474,0.000003,0.000018,99.917216,0.011698,0.067487,1000
1400,14.000000,0.026466,0.026444,0.000003,0.000018,99.917122,0.011711,0.067564,1000
1410,14.100000,0.026593,0.026572,0.000002,0.000018,99.921104,0.008069,0.067241,1000
1420,14.200000,0.026433,0.026411,0.000003,0.000018,99.916116,0.011726,0.067648,1000
1430,14.300000,0.026840,0.026815,0.000003,0.000019,99.906729,0.011548,0.071064,1000
1440,14.400000,0.026276,0.026254,0.000003,0.000018,99.915616,0.011796,0.068959,1000
1450,14.500000,0.026317,0.026295,0.000003,0.000018,99.916652,0.011777,0.067946,1000
1460,14.600000,0.026281,0.026259,0.000003,0.000018,99.915632,0.010886,0.068946,1000
1470,14.700000,0.026402,0.026380,0.000003,0.000018,99.916921,0.010836,0.068630,1000
1480,14.800000,0.026394,0.026372,0.000002,0.000018,99.916896,0.007226,0.068651,1000
1490,14.900000,0.026382,0.026360,0.000003,0.000017,99.915954,0.011748,0.064164,1000
1500,15.000000,0.026431,0.026409,0.000003,0.000018,99.916110,0.011727,0.068555,1000
1510,15.100000,0.026421,0.026399,0.000003,0.000018,99.916980,0.011731,0.067679,1000
1520,15.200000,0.026333,0.026312,0.000002,0.000018,99.920324,0.008149,0.067905,1000
1530,15.300000,0.026317,0.026296,0.000002,0.000018,99.920277,0.007248,0.068852,1000
1540,15.400000,0.026284,0.026263,0.000002,0.000018,99.920176,0.007257,0.068939,1000
1550,15.500000,0.026358,0.026335,0.000003,0.000018,99.913164,0.010855,0.068745,1000
1560,15.600000,0.026289,0.026268,0.000002,0.000018,99.920192,0.007255,0.068019,1000
1570,15.700000,0.026315,0.026293,0.000003,0.000018,99.916646,0.010872,0.068857,1000
1580,15.800000,0.026361,0.026339,0.000003,0.000018,99.916792,0.010853,0.068737,1000
1590,15.900000,0.026423,0.026402,0.000003,0.000017,99.920596,0.011730,0.064064,1000
1600,16.000000,0.026281,0.026259,0.000002,0.000018,99.916539,0.007257,0.068946,1000
1610,16.100000,0.026282,0.026260,0.000002,0.000017,99.915635,0.007257,0.064408,1000
1620,16.200000,0.026318,0.026296,0.000003,0.000018,99.916656,0.010871,0.068849,1000
1630,16.300000,0.026318,0.026297,0.000002,0.000018,99.921185,0.007247,0.067944,1000
1640,16.400000,0.026341,0.026319,0.000003,0.000017,99.916729,0.011767,0.064264,1000
1650,16.500000,0.026278,0.026257,0.000002,0.000017,99.920158,0.007258,0.064418,1000
1660,16.600000,0.026278,0.026256,0.000003,0.000018,99.916529,0.010888,0.068954,1000
1670,16.700000,0.026348,0.026326,0.000003,0.000018,99.916751,0.010859,0.068771,1000
1680,16.800000,0.026410,0.026387,0.000003,0.000018,99.913335,0.011736,0.067707,1000
1690,16.900000,0.026323,0.026300,0.000003,0.000018,99.913048,0.011775,0.067931,1000
1700,17.000000,0.026277,0.026256,0.000003,0.000017,99.919248,0.011795,0.064420,1000
1710,17.100000,0.026381,0.026359,0.000003,0.000018,99.916855,0.010845,0.068685,1000
1720,17.200000,0.026275,0.026252,0.000003,0.000018,99.911983,0.010889,0.068962,1000
1730,17.300000,0.026307,0.026286,0.000002,0.000018,99.920246,0.008157,0.067972,1000
1740,17.400000,0.026273,0.026252,0.000002,0.000018,99.921050,0.007260,0.068061,1000
1750,17.500000,0.026458,0.026436,0.000002,0.000018,99.917096,0.007209,0.067585,1000
1760,17.600000,0.026464,0.026443,0.000002,0.000018,99.920719,0.007207,0.067569,1000
1770,17.700000,0.026434,0.026412,0.000003,0.000017,99.917021,0.011725,0.064038,1000
1780,17.800000,0.026719,0.026696,0.000003,0.000019,99.914337,0.011600,0.070494,1000
1790,17.900000,0.026399,0.026377,0.000002,0.000018,99.916911,0.007225,0.068639,1000
