TimeStep,SimulationTime,Energy,EnergyChange(%),MinDistance,MaxVelocity,Stable
0.500005,6.00006,6.04901e+23,1.64265e+10,4.50567e+07,3.48754e+08,1
0.500005,6.00006,6.04901e+23,1.64265e+10,4.50567e+07,3.48754e+08,0
0.250007,6.00018,1.51231e+23,4.10679e+09,2.54937e+07,1.7438e+08,1
0.250007,6.00018,1.51231e+23,4.10679e+09,2.54937e+07,1.7438e+08,0
0.125009,6.00042,3.78108e+22,1.02678e+09,1.3489e+07,8.71937e+07,1
0.125009,6.00042,3.78108e+22,1.02678e+09,1.3489e+07,8.71937e+07,0
0.0625094,6.0009,9.45422e+21,2.56736e+08,6.9309e+06,4.36003e+07,1
0.0625094,6.0009,9.45422e+21,2.56736e+08,6.9309e+06,4.36003e+07,0
0.0312597,6.00186,2.36431e+21,6.42046e+07,3.5129e+06,2.18037e+07,1
0.0312597,6.00186,2.36431e+21,6.42046e+07,3.5129e+06,2.18037e+07,0
0.0156348,6.00378,5.91456e+20,1.60615e+07,1.76917e+06,1.09053e+07,1
0.0156348,6.00378,5.91456e+20,1.60615e+07,1.76917e+06,1.09053e+07,0
0.00782242,6.00762,1.48053e+20,4.02059e+06,888618,5.45615e+06,1
0.00782242,6.00762,1.48053e+20,4.02059e+06,888618,5.45615e+06,0
0.00391621,6.00355,3.7108e+19,1.00779e+06,445298,2.73156e+06,1
0.00391621,6.00355,3.7108e+19,1.00779e+06,445298,2.73156e+06,0
0.00196311,6.00121,9.32443e+18,253311,223301,1.36927e+06,1
0.00196311,6.00121,9.32443e+18,253311,223301,1.36927e+06,0
0.000986553,6.00021,2.35489e+18,64048.5,112153,688121,1
0.000986553,6.00021,2.35489e+18,64048.5,112153,688121,0
0.000498276,6.00024,6.0059e+17,16409.4,55804.7,347543,1
0.000498276,6.00024,6.0059e+17,16409.4,55804.7,347543,0
0.000254138,6.0002,1.55709e+17,4328.39,21105.4,177223,1
0.000254138,6.0002,1.55709e+17,4328.39,21105.4,177223,0
0.000132069,6.00003,3.95251e+16,1173.33,9861.05,91840.7,1
0.000132069,6.00003,3.95251e+16,1173.33,9861.05,91840.7,0
7.10345e-05,6,2.59333e+17,7142.37,11801.3,2.45574e+06,1
7.10345e-05,6,2.59333e+17,7142.37,11801.3,2.45574e+06,0
