ParticleID,X,Y,Z
0,7.90412e+08,7.00509e+08,5.94894e+08
1,7.76111e+08,8.03862e+08,4.95078e+08
2,9.91725e+08,8.65081e+08,5.8586e+08
3,9.21058e+08,1.12998e+09,2.20476e+08
4,1.00039e+09,1.17976e+09,4.48538e+07
5,9.89659e+08,1.0317e+09,-1.36862e+08
6,1.04447e+09,9.13599e+08,-2.58881e+08
7,9.35569e+08,1.0487e+09,-3.83047e+08
8,7.7105e+08,7.57918e+08,-5.45207e+08
9,7.03298e+08,7.60635e+08,-5.65069e+08
10,8.92451e+08,5.64179e+08,9.55024e+08
11,9.92293e+08,6.44131e+08,7.32016e+08
12,1.36703e+09,5.70132e+08,5.48105e+08
13,9.24331e+08,8.52022e+08,2.63532e+08
14,1.26307e+09,6.86495e+08,8.84705e+07
15,1.15853e+09,7.5054e+08,-2.1635e+08
16,1.02024e+09,7.58541e+08,-2.51584e+08
17,1.12944e+09,7.37177e+08,-4.32418e+08
18,1.02219e+09,6.38403e+08,-6.16119e+08
19,7.55826e+08,4.77718e+08,-7.27898e+08
20,1.0251e+09,4.74458e+08,8.1518e+08
21,1.0586e+09,3.5269e+08,7.57998e+08
22,1.19319e+09,3.87783e+08,6.4026e+08
23,1.24181e+09,3.41965e+08,2.04586e+08
24,1.40232e+09,3.72114e+08,2.68236e+07
25,1.11156e+09,5.20121e+08,-1.84916e+08
26,1.29211e+09,5.03343e+08,-2.40528e+08
27,1.23494e+09,6.50111e+08,-4.54523e+08
28,1.07743e+09,6.72756e+08,-9.20689e+08
29,8.95124e+08,5.2449e+08,-1.02942e+09
30,9.02085e+08,2.82165e+08,1.02997e+09
31,1.11093e+09,2.82292e+08,7.73397e+08
32,1.21559e+09,4.79826e+08,2.78579e+08
33,1.18903e+09,3.30741e+08,1.88432e+08
34,1.40173e+09,2.58724e+08,6.98508e+07
35,1.28041e+09,4.6785e+08,-1.55356e+07
36,1.50242e+09,3.47136e+08,-3.43512e+08
37,1.02663e+09,4.03702e+08,-5.18881e+08
38,1.38057e+09,5.42098e+08,-7.44822e+08
39,9.71686e+08,2.46827e+08,-1.09888e+09
40,1.09531e+09,1.72775e+08,9.65305e+08
41,1.07546e+09,1.60304e+08,7.49755e+08
42,1.41234e+09,2.27244e+08,5.72875e+08
43,1.28517e+09,2.66469e+08,2.93148e+08
44,1.45738e+09,2.81828e+08,1.27388e+08
45,1.45908e+09,1.13176e+08,-1.37852e+08
46,1.4356e+09,2.42095e+08,-1.45492e+08
47,1.51455e+09,8.03796e+07,-3.49665e+08
48,1.33869e+09,1.67377e+08,-8.13469e+08
49,1.02261e+09,1.08715e+08,-1.06274e+09
50,8.55574e+08,-4.45237e+07,1.17051e+09
51,1.31033e+09,-6.73514e+07,7.65039e+08
52,1.42643e+09,-3.16017e+07,5.88208e+08
53,1.61096e+09,-2.98813e+07,2.46063e+07
54,1.40028e+09,8.12974e+06,2.5146e+08
55,1.46201e+09,1.85258e+07,-2.18054e+08
56,1.31991e+09,-1.10381e+08,-1.61847e+08
57,1.28059e+09,-1.75439e+08,-5.22505e+08
58,1.28386e+09,-4.86023e+07,-8.85078e+08
59,1.00657e+09,7.88542e+07,-1.16747e+09
60,1.02596e+09,-4.36974e+07,8.79867e+08
61,1.26748e+09,2.15833e+07,7.62392e+08
62,1.58247e+09,-4.0266e+07,4.0695e+08
63,1.50218e+09,-2.84165e+07,4.96265e+08
64,1.50162e+09,-3.26082e+08,8.13606e+07
65,1.41208e+09,-3.20255e+08,-2.87148e+08
66,1.30845e+09,-2.97708e+08,-2.91219e+08
67,1.28962e+09,-2.55569e+08,-5.12593e+08
68,1.31954e+09,-1.12614e+08,-8.05117e+08
69,1.04575e+09,-2.01281e+08,-1.14221e+09
70,9.02873e+08,-3.61589e+08,9.9642e+08
71,9.52907e+08,-4.53221e+08,9.18436e+08
72,1.2826e+09,-5.12984e+08,5.101e+08
73,8.90662e+08,-6.67961e+08,-1.62157e+08
74,1.3985e+09,-2.50722e+08,-4.73175e+07
75,1.39623e+09,-4.05873e+08,-2.18837e+08
76,1.24064e+09,-5.59004e+08,-2.26548e+08
77,1.344e+09,-4.01019e+08,-3.74788e+08
78,1.13848e+09,-4.08004e+08,-5.54565e+08
79,1.01807e+09,-4.62858e+08,-1.21324e+09
80,8.67007e+08,-5.03409e+08,8.58597e+08
81,1.13656e+09,-5.8846e+08,7.22428e+08
82,1.06433e+09,-4.88714e+08,3.75381e+08
83,1.10654e+09,-6.65618e+08,1.75637e+08
84,1.58666e+09,-9.11315e+08,5.73898e+08
85,1.28433e+09,-1.03467e+09,-5.46474e+08
86,1.19048e+09,-6.53525e+08,-1.92064e+08
87,1.20523e+09,-6.18723e+08,-3.02022e+08
88,1.13411e+09,-5.66153e+08,-6.91438e+08
89,9.70427e+08,-6.2955e+08,-9.7923e+08
90,8.0403e+08,-8.31927e+08,7.38404e+08
91,8.83165e+08,-8.85513e+08,4.64425e+08
92,1.24743e+09,-1.34478e+09,4.6006e+08
93,9.55667e+08,-1.02865e+09,1.58234e+08
94,1.08529e+09,-1.03225e+09,1.89072e+08
95,9.66242e+08,-1.11337e+09,-1.36427e+08
96,9.63405e+08,-9.22627e+08,-1.83128e+08
97,9.73182e+08,-8.10631e+08,-3.26566e+08
98,9.24916e+08,-1.05091e+09,-4.75069e+08
99,8.93482e+08,-7.85696e+08,-8.54422e+08
100,2.22775e+08,7.70034e+08,7.48475e+08
101,5.03972e+08,1.01049e+09,5.45599e+08
102,6.50543e+08,1.19284e+09,4.19403e+08
103,5.85929e+08,1.25472e+09,2.00958e+08
104,5.98236e+08,1.37925e+09,-6.67222e+07
105,7.99521e+08,1.28221e+09,-1.58099e+08
106,6.79631e+08,1.20372e+09,-2.72391e+08
107,8.07527e+08,1.32436e+09,-5.75595e+08
108,5.46577e+08,9.91133e+08,-6.06745e+08
109,4.77914e+08,7.80455e+08,-8.67772e+08
110,7.22125e+08,7.19906e+08,8.33326e+08
111,8.14482e+08,6.38944e+08,7.0569e+08
112,9.41411e+08,1.13735e+09,1.0161e+08
113,7.24638e+08,1.08111e+09,2.0847e+08
114,7.30841e+08,7.85365e+08,-1.15984e+08
115,9.00304e+08,7.9449e+08,-1.76512e+08
116,9.34226e+08,8.77154e+08,-2.50603e+08
117,9.68744e+08,6.12106e+08,-4.46895e+08
118,8.38804e+08,6.24389e+08,-8.14968e+08
119,7.18711e+08,6.82044e+08,-8.61109e+08
120,6.05452e+08,4.50768e+08,1.11464e+09
121,7.63503e+08,4.7639e+08,8.42206e+08
122,9.028e+08,4.1808e+08,6.34933e+08
123,8.93185e+08,6.15195e+08,3.23181e+08
124,8.39491e+08,6.14677e+08,7.28545e+07
125,1.01679e+09,6.48644e+08,-2.65728e+08
126,9.08589e+08,5.95193e+08,-2.39864e+08
127,1.02408e+09,6.36462e+08,-6.18309e+08
128,7.89354e+08,6.44343e+08,-8.7717e+08
129,6.07566e+08,5.74984e+08,-1.12061e+09
130,7.67751e+08,2.14101e+08,1.17414e+09
131,8.73738e+08,3.68387e+08,8.08486e+08
132,8.83538e+08,3.26457e+08,6.73392e+08
133,1.07013e+09,5.85816e+08,1.11651e+08
134,1.00215e+09,4.24186e+08,1.13127e+08
135,7.77972e+08,6.51118e+08,-1.9604e+07
136,9.95872e+08,4.33459e+08,-3.8059e+08
137,8.81948e+08,5.85822e+08,-2.38542e+08
138,9.6728e+08,2.65304e+08,-8.90082e+08
139,8.60335e+08,5.32394e+08,-1.28302e+09
140,3.96313e+08,1.40773e+08,1.33428e+09
141,8.29106e+08,2.3652e+08,8.25785e+08
142,7.98315e+08,1.63777e+08,6.06469e+08
143,8.18559e+08,1.48139e+08,3.67819e+08
144,1.0968e+09,3.1087e+08,1.75139e+08
145,1.35852e+09,1.24811e+08,3.86303e+07
146,9.77032e+08,2.90066e+08,-2.57705e+08
147,1.0233e+09,2.62657e+08,-3.9866e+08
148,9.56011e+08,1.10252e+08,-7.55034e+08
149,1.42208e+09,-3.4183e+08,-1.53272e+09
150,7.49547e+08,-1.00048e+08,1.04254e+09
151,7.97749e+08,9.10136e+06,8.18388e+08
152,7.92432e+08,1.53666e+08,8.59553e+08
153,8.9925e+08,-3.54566e+08,1.648e+08
154,1.21318e+09,-3.84643e+06,1.65871e+08
155,1.01568e+09,-1.76238e+08,4.56714e+07
156,9.88385e+08,-1.96192e+08,-1.56319e+08
157,1.58119e+09,-2.17456e+08,-7.69428e+08
158,5.4406e+08,-1.86288e+08,-6.06498e+08
159,8.58515e+08,-1.53362e+08,-1.40367e+09
160,7.00173e+08,-2.53836e+08,1.11384e+09
161,7.22354e+08,-9.45677e+07,1.01302e+09
162,7.85732e+08,-1.60233e+08,6.91784e+08
163,9.1098e+08,-3.68101e+08,3.09133e+08
164,9.97274e+08,-2.98507e+08,2.89645e+08
165,1.12949e+09,-2.58531e+08,-1.90608e+08
166,1.07257e+09,-1.65545e+08,-9.27338e+07
167,9.33015e+08,-2.55165e+08,-5.05175e+08
168,1.20195e+09,-2.39053e+08,-4.19536e+08
169,4.43578e+08,-4.54752e+08,-1.32138e+09
170,6.04864e+08,-3.57881e+08,1.26812e+09
171,1.10347e+09,-7.052e+07,1.0498e+09
172,7.49571e+08,-5.05302e+08,5.92964e+08
173,9.16405e+08,-5.71218e+08,5.65402e+07
174,5.04676e+08,-1.45973e+08,-7.57725e+07
175,8.06554e+08,-4.89901e+08,-2.38937e+08
176,1.00918e+09,-5.76802e+08,-1.61534e+08
177,8.89474e+08,-7.45668e+08,-6.09844e+08
178,6.37856e+08,-6.78672e+08,-7.71033e+08
179,5.99281e+08,-5.07829e+08,-1.09678e+09
180,6.20546e+08,-5.42642e+08,1.12539e+09
181,-1.95962e+08,-1.56661e+09,5.75917e+08
182,6.47148e+08,-8.63908e+08,5.44438e+08
183,3.96459e+08,-8.33143e+08,-5.15616e+07
184,9.15985e+08,-8.45999e+08,4.77967e+07
185,8.42113e+08,-1.12208e+09,-4.06007e+08
186,9.8677e+08,-9.30158e+08,-1.51672e+08
187,8.87735e+08,-8.17054e+08,-4.42356e+08
188,7.35318e+08,-7.00108e+08,-5.83392e+08
189,5.71566e+08,-6.04634e+08,-1.06845e+09
190,5.5748e+08,-8.79241e+08,7.61685e+08
191,7.26231e+08,-9.4639e+08,6.72575e+08
192,6.4654e+08,-1.22862e+09,3.96888e+08
193,7.44831e+08,-1.1583e+09,3.00981e+08
194,6.92663e+08,-1.17755e+09,2.36749e+07
195,7.67656e+08,-1.22228e+09,-8.23817e+07
196,6.45834e+08,-1.23927e+09,-2.70812e+08
197,5.83316e+08,-1.09045e+09,-3.3053e+08
198,4.60974e+08,-1.09819e+09,-5.24693e+08
199,5.66474e+08,-1.06585e+09,-8.79115e+08
200,4.25066e+08,9.26227e+08,8.80117e+08
201,3.1258e+08,1.11177e+09,6.90544e+08
202,3.56012e+08,1.19644e+09,5.26999e+08
203,4.25138e+08,1.32801e+09,2.86646e+08
204,5.56664e+08,1.4233e+09,5.08796e+07
